Index,Joueur,Age,Equipe,Position,Ligue,Matchs joues,Titularisations,Minutes jouees,Nombre de matchs de 90 minutes,Buts,Passes decisives,Buts + Passes decisives,Buts hors penalty,Penaltys marques,Penaltys tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG),Passes decisives attendues (xAG),Somme des buts et passes attendus hors penalty,Courses progressives,Passes progressives,Receptions progressives,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes decisives attendues par 90 minutes,Buts et passes attendus par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des contributions attendues par 90 minutes,Matchs de 90 minutes,Actions menant a un tir,Actions menant a un tir par 90 minutes,Actions menant a un tir via passe,Actions menant a un tir via passe arretee,Actions menant a un tir via dribble reussi,Actions menant a un tir via une tentative de tir,Actions menant a un tir via une faute subie,Actions menant a un tir via action d�fensive,Actions menant a un but,Actions menant a un but par 90 minutes,Actions menant a un but via passe,Actions menant a un but via passe arretee,Actions menant a un but via dribble reussi,Actions menant a un but via une tentative de tir,Actions menant a un but via une faute subie,Actions menant a un but via action defensive,Passes reussies,Passes tentees,Pourcentage de passes reussies,Distance totale des passes,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de passes courtes reussies,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de passes moyennes reussies,Passes longues reussies,Passes longues tentees,Pourcentage de passes longues reussies,Difference entre passes et passes attendues,Passes cles,Passes dans le dernier tiers,Passes dans la surface de r�paration,Centres dans la surface,Passes progressives.1,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentes,Interceptions,Tacles reussis,Penaltys obtenus,Penaltys concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs tentes,Penaltys marques.1,Penaltys tentes.1,Buts attendus hors penalty par tir,Difference entre buts marques et attendus,Difference entre buts hors penalty marques et attendus,Tacles,Tacles reussis.1,Tacles dans le tiers d�fensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Duels defensifs gagnes,Duels defensifs tentes,Pourcentage de duels gagnes,Duels perdus,Contres,Tirs contres,Passes bloquees,Interceptions.1,Total tacles + interceptions,Degagements,Erreurs menant a un tir,Minutes par match joue,Pourcentage de minutes jouees,Titularisations.1,Minutes par titularisation,Matchs complets,Remplacements,Minutes par entree en jeu,Matchs non joues,Points par match,Succes d equipe buts marques,Succes d equipe buts concedes,Succes d'�quipe �,Succes d equipe +/-90,Succes d equipe On-Off,Succes d equipe (xG) buts attendus marques,Succes d equipe (xG) buts attendus concedes,Succes d equipe (xG) difference xG (xG+/-),Succes d equipe (xG) difference xG par 90 minutes (xG+/-90),Succes d equipe (xG) On-Off,Touches de balle,Touches de balle surface defensive,Touches de balle tiers defensif,Touches de balle tiers median,Touches de balle tiers offensif,Touches de balle surface offensive,Touches de balle en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Dribbles arretes par l adversaire,Pourcentage de dribbles arretes,Portees de balle,Distance totale des portees de balle,Distance progressive des portees de balle,Portees progressives,Portees dans le dernier tiers,Portees jusqu a la surface de reparation
10,Abel,24,Osasuna,Défenseur,La Liga,21,12,1258,14,2,0,2,2,0,0,2,0,0,0,0,1,31,46,48,0,0,0,0,0,0,0,0,0,0,14,14,1,11,0,1,0,1,1,2,0,0,0,1,0,0,1,429,624,68,7306,3175,212,244,86,174,232,75,35,106,33,0,6,38,7,6,46,0,12,15,1,53,11,20,0,0,0,69,15,7,68,9,3,33,0,0,0,0,25,0,0,0,0,1,1,29,20,13,10,6,18,33,54,15,19,2,17,11,40,37,0,60,63,12,87,9,9,24,1,1,14,23,-9,0,-1,11,20,-8,0,0,766,39,237,350,186,10,766,20,12,60,7,35,314,1764,914,31,26,4
11,Nabil Aberdin,22,Getafe,Milieu,La Liga,7,4,263,2,0,0,0,0,0,0,1,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,61,59,680,267,12,20,60,12,19,63,8,13,61,0,1,7,2,0,6,0,7,6,0,0,0,4,0,0,0,8,10,3,76,2,0,0,0,0,0,0,31,0,0,0,0,0,0,6,4,3,3,0,1,1,100,0,3,0,3,0,6,5,0,38,12,4,63,1,3,4,7,1,1,2,-1,0,0,1,1,0,0,0,87,6,21,56,10,2,87,3,2,66,1,33,34,148,74,2,0,0
12,Oliver Abildgaard,28,Como,Milieu,Serie A,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,21,7,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,Matthis Abline,21,Nantes,Attaquant,Ligue 1,21,20,1675,18,6,1,7,5,1,1,1,0,5,4,2,7,42,32,113,0,0,0,0,0,0,0,0,0,0,18,41,2,29,0,6,4,2,0,5,0,3,0,2,0,0,0,236,333,70,3461,610,128,163,78,76,100,76,15,24,62,-1,17,13,12,2,32,0,19,30,3,20,2,3,0,0,0,51,29,41,41,52,19,36,2,1,0,0,14,0,1,1,0,0,0,7,3,2,2,3,1,7,14,6,8,0,8,2,9,26,1,80,88,20,83,6,1,23,0,1,19,26,-7,0,0,19,26,-7,0,0,554,23,53,224,290,99,553,58,24,41,32,55,367,2280,1061,42,27,26
14,Abner,24,Lyon,Défenseur,Ligue 1,13,9,799,8,1,0,1,1,0,0,1,0,0,0,0,0,19,50,46,0,0,0,0,0,0,0,0,0,0,8,16,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,404,485,83,5933,2506,231,254,90,136,160,85,23,38,60,0,8,31,8,1,50,0,11,4,0,24,5,14,0,0,0,37,5,6,45,6,3,50,0,0,0,0,19,0,0,0,0,0,0,20,14,9,8,3,15,23,65,8,12,1,11,5,25,31,0,61,42,9,81,4,4,18,8,1,12,9,3,0,0,15,12,3,0,0,574,30,131,271,174,18,574,8,4,50,4,50,289,1306,826,19,10,4
15,Zakaria Aboukhlal,24,Toulouse,Milieu,Ligue 1,21,20,1668,18,6,2,8,5,1,2,4,0,9,7,1,9,28,21,148,0,0,0,0,0,0,0,0,0,0,18,29,1,17,0,4,4,3,1,6,0,3,0,1,0,2,0,193,307,62,2419,658,126,168,75,51,87,58,4,12,33,0,10,13,9,3,21,0,32,20,9,29,6,9,1,0,0,45,19,33,36,51,22,43,2,1,0,0,14,0,1,2,0,-3,-2,16,9,6,6,4,4,19,21,15,15,1,14,6,22,7,0,79,88,20,82,8,1,27,0,1,19,20,-1,0,0,25,19,5,0,0,532,5,47,172,318,98,530,37,10,27,27,73,329,1667,737,28,19,16
16,Abdel Abqar,25,Alavés,Défenseur,La Liga,21,21,1758,19,0,1,1,0,0,0,11,0,0,0,0,0,12,66,4,0,0,0,0,0,0,0,0,0,0,19,20,1,15,0,0,2,1,2,3,0,2,0,0,0,1,0,527,708,74,11817,4414,131,142,92,304,336,90,88,206,42,0,6,52,9,2,66,0,38,18,2,5,33,17,1,2,0,57,28,27,50,6,1,16,0,0,0,0,7,0,0,0,0,0,0,27,17,16,10,1,14,24,58,10,19,12,7,33,60,101,1,84,84,21,84,17,0,0,0,1,22,31,-9,0,0,21,23,-1,0,0,923,126,491,392,46,15,923,2,1,50,1,50,460,2816,1569,12,7,0
17,Tammy Abraham,27,Roma,Attaquant,Serie A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33,44,32,0,1,0,0,1,0,1,1,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-3,-3,4,0,0,2,2,1,4,0,0,0,0,0,3,2,1,0,0,0
18,Tammy Abraham,27,Milan,Attaquant,Serie A,18,9,873,9,2,2,4,1,1,2,0,0,6,4,1,5,5,15,46,0,0,0,0,0,0,0,0,0,0,9,20,2,15,0,0,4,1,0,4,0,2,0,0,1,1,0,104,149,69,1381,330,60,80,75,36,53,67,2,4,50,0,8,9,4,0,15,0,16,6,3,2,2,9,1,0,0,10,20,25,44,19,9,47,1,0,0,0,12,0,1,2,0,-4,-3,13,9,0,9,4,5,7,71,2,8,0,8,2,15,8,0,49,42,9,74,2,9,23,2,1,18,9,9,0,0,16,9,7,0,0,252,13,31,119,102,50,250,11,3,27,8,72,102,348,126,5,4,3
19,Federico Accornero,21,Genoa,Milieu,Serie A,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,66,55,19,2,3,66,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,5,11,0,0,0,0,0,0,0,0,0,0,0,8,1,2,3,3,0,8,0,0,0,0,0,5,25,18,0,1,0
20,Francesco Acerbi,37,Inter,Défenseur,Serie A,9,9,670,7,0,1,1,0,0,0,0,0,0,0,0,0,5,29,5,0,0,0,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,555,586,94,10328,2924,183,195,93,330,339,97,35,40,87,0,3,29,3,2,29,0,4,8,0,3,15,4,0,0,0,19,24,10,70,3,1,33,0,0,0,0,11,0,0,0,0,0,0,6,4,5,1,0,2,3,66,1,6,6,0,15,21,28,0,74,32,9,74,7,0,0,6,2,16,9,7,0,0,13,8,4,0,0,654,50,242,374,39,8,654,1,1,100,0,0,430,1929,952,5,8,0
21,Joshua Acheampong,18,Chelsea,Défenseur,Premier League,2,2,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,111,82,1811,598,26,29,89,55,59,93,10,19,52,0,0,5,0,0,7,0,0,1,0,0,1,1,0,0,0,7,1,6,14,2,0,0,1,0,0,0,8,0,0,0,0,0,0,2,1,2,0,0,2,2,100,0,1,0,1,1,3,2,0,80,7,2,80,1,0,0,7,1,2,3,-1,0,-1,3,2,1,0,0,124,7,43,75,6,3,124,2,1,50,0,0,96,650,377,0,2,0
22,Akor Adams,25,Sevilla,Attaquant,La Liga,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,66,15,12,1,1,100,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,-2,-1,4,1,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
23,Akor Adams,25,Montpellier,Attaquant,Ligue 1,15,13,1075,11,3,1,4,3,0,0,2,0,4,4,1,5,11,6,45,0,0,0,0,0,0,0,0,0,0,11,25,2,18,0,4,1,2,0,5,0,2,0,1,0,2,0,112,179,62,1540,198,72,101,71,32,49,65,3,10,30,0,12,8,0,0,6,0,17,8,16,5,1,3,2,0,0,24,28,27,50,26,12,46,2,1,0,0,13,0,0,0,0,-1,-1,4,3,1,2,1,3,4,75,1,2,1,1,1,5,5,1,72,56,13,79,7,2,22,1,0,12,29,-17,-1,0,12,23,-10,0,0,251,5,19,118,117,49,251,14,7,50,6,42,126,661,279,11,5,7
24,Che Adams,28,Torino,Attaquant,Serie A,23,18,1576,17,7,2,9,7,0,0,1,0,4,4,1,6,14,22,91,0,0,0,0,0,0,0,0,0,0,17,43,2,36,0,0,4,3,0,3,0,2,0,0,1,0,0,262,366,71,3969,728,142,187,75,85,109,78,20,32,62,0,20,21,5,0,22,0,14,25,15,8,1,3,0,0,0,35,23,39,37,37,16,43,2,0,0,0,16,0,0,0,0,2,2,8,3,1,3,4,0,3,0,3,7,3,4,1,9,9,0,69,73,18,79,11,5,31,0,1,19,21,-2,0,0,15,21,-5,0,0,509,9,33,254,229,56,509,26,7,26,15,57,329,1397,498,14,13,3
26,Tyler Adams,25,Bournemouth,Milieu,Premier League,14,9,866,9,0,3,3,0,0,0,4,0,1,1,0,1,7,39,4,0,0,0,0,0,0,0,0,0,0,9,19,1,15,0,0,0,0,4,4,0,3,0,0,0,0,1,339,403,84,5436,1359,173,193,89,145,164,88,13,23,56,2,8,27,1,0,39,0,20,9,0,0,24,29,0,1,0,44,15,8,65,5,1,20,0,0,0,0,17,0,0,0,0,-1,-1,42,29,15,23,4,16,30,53,14,10,3,7,24,66,25,0,62,40,9,84,6,5,22,1,1,24,14,10,1,0,19,14,5,0,0,541,24,142,304,101,8,541,9,2,22,5,55,262,1163,513,7,11,1
27,Junior Adamu,23,Freiburg,Attaquant,Bundesliga,16,11,955,10,2,1,3,2,0,0,3,1,4,4,1,5,5,6,51,0,0,0,0,0,0,0,0,0,0,10,22,2,16,0,1,2,3,0,3,0,2,0,0,1,0,0,127,200,63,1544,172,77,111,69,33,51,64,1,3,33,0,13,4,3,0,6,0,23,17,8,3,6,0,0,0,0,29,32,75,29,23,9,39,2,0,0,0,12,0,0,0,0,-2,-2,3,0,1,1,1,0,5,0,5,8,0,8,6,9,13,0,60,50,11,77,3,5,21,2,1,13,17,-4,0,0,15,10,4,0,0,327,13,35,160,136,43,327,15,8,53,7,46,160,651,243,5,3,3
28,Tosin Adarabioyo,27,Chelsea,Défenseur,Premier League,12,9,823,9,1,0,1,1,0,0,2,0,0,0,0,0,5,26,1,0,0,0,0,0,0,0,0,0,0,9,9,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,696,752,92,12596,4706,278,289,96,377,390,96,39,63,61,0,1,33,0,0,26,0,5,2,1,0,3,9,0,0,0,25,23,13,63,9,2,22,0,0,0,0,11,0,0,0,0,0,0,12,9,9,3,0,7,10,70,3,7,6,1,3,15,33,0,69,38,9,86,8,3,17,12,1,19,10,9,0,0,20,12,7,0,0,820,105,408,400,13,9,820,2,2,100,0,0,521,2152,1241,5,1,0
29,Martin Adeline,21,Reims,Milieu,Ligue 1,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,80,138,11,3,3,100,3,4,75,1,2,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,50,1,0,0,0,0,1,2,0,26,1,0,0,0,1,26,1,1,0,1,-1,-3,-3,0,1,-1,-3,-2,14,2,8,4,2,1,14,0,0,0,0,0,6,35,9,1,0,1
30,Karim Adeyemi,23,Dortmund,Attaquant,Bundesliga,12,7,608,6,2,3,5,2,0,0,2,0,1,1,1,3,30,8,60,0,0,0,0,0,0,0,0,0,0,6,20,2,10,1,6,2,1,0,3,0,3,0,0,0,0,0,129,174,74,1847,302,72,86,83,44,54,81,5,9,55,1,11,3,5,0,8,0,10,6,1,9,4,6,0,0,0,25,3,5,37,18,8,44,2,1,0,0,17,0,0,0,0,0,0,8,6,3,1,4,2,6,33,4,7,0,7,4,12,3,0,51,32,7,66,1,5,29,0,1,12,14,-2,0,0,9,8,1,0,0,269,6,25,115,135,31,269,44,23,52,19,43,178,1492,710,30,16,17
31,Simon Adingra,23,Brighton,Attaquant,Premier League,16,6,598,6,2,1,3,2,0,0,0,0,1,1,0,2,22,8,76,0,0,0,0,0,0,0,0,0,0,6,21,3,15,0,4,2,0,0,3,0,2,0,1,0,0,0,150,204,73,2135,466,93,108,86,43,59,72,9,19,47,0,7,2,7,2,8,0,9,0,0,20,6,7,0,0,0,30,3,1,75,14,4,28,2,0,0,0,15,0,0,0,0,0,0,14,7,7,5,2,6,17,35,11,6,0,6,6,20,3,1,37,27,6,64,0,10,21,5,1,10,13,-3,0,0,8,11,-2,0,0,305,5,50,93,167,36,305,31,13,41,18,58,203,1351,627,22,14,11
32,Amine Adli,24,Leverkusen,Milieu,Bundesliga,7,2,205,2,0,0,0,0,0,0,1,0,0,0,0,0,12,9,37,0,0,0,0,0,0,0,0,0,0,2,11,4,5,0,2,1,3,0,0,0,0,0,0,0,0,0,92,120,76,1182,259,61,72,84,24,32,75,3,9,33,0,2,2,7,2,9,0,2,7,0,11,0,4,2,0,0,12,6,4,60,5,0,0,2,0,0,0,13,0,0,0,0,0,0,7,4,1,1,5,3,5,60,2,3,0,3,0,7,3,0,29,10,2,59,0,5,17,1,2,5,6,-1,0,-1,6,2,3,1,1,157,3,21,43,95,15,157,14,7,50,6,42,82,579,351,12,10,2
